Gordon Ramsay: "J'suis pas un chef. J'suis un artiste avec un couteau!"
Julia Child: "La seule fois où tu peux être trop occupé pour cuisiner, c'est quand tu es mort."
Anthony Bourdain: "Ton corps c'est pas un temple, c'est un parc d'amusement. Profite du trajet!"
Ina Garten: "J'ai une philosophie simple : remplis ce qui est vide. Vide ce qui est plein. Et gratte là où ça pique."
Rachel Ray: "Une bonne recette, c'est comme un bon ami; elle te soutient, puis elle te fait sentir mieux après une journée tough."
Nigella Lawson: "J'ai toujours cru que si t'as une bonne recette, y'a pas besoin de compliquer les choses."
Jamie Oliver: "Le secret pour bien cuisiner, c'est d'avoir de bons ingrédients, une bonne recette, et un bon sens de l'humour."
Rachael Ray: "Quand tu commences ta journée avec un déjeuner copieux, t'as plus de chances de passer une bonne journée. À moins que ce soit un déjeuner vraiment dégueulasse."
Wolfgang Puck: "La seule fois où tu devrais manger de la nourriture diététique, c'est quand tu attends que ton steak cuise."
Paula Deen: "Tu peux pas battre le bacon – c’est un amplificateur de saveurs pour presque tout!"
Alton Brown: "La seule fois où j'ai jamais brûlé un rôti, c'est quand j'essayais d'en faire un sandwich. Jamais cuisiner avec un lendemain de veille."
Martha Stewart: "Cuisiner, c'est comme l'amour. Ça devrait être fait avec abandon ou pas du tout."
Bobby Flay: "La meilleure chose avec la cuisine, c'est que c'est tout à propos d'expérimenter. T'as pas besoin d'être parfait, juste continue à essayer de nouvelles choses!"
Emeril Lagasse: "Bam! La bouffe doit être amusante. C’est pour ça que je dis, ajoutons un peu de piquant!"
