Gordon Ramsay: "I’m not a chef. I’m an artist with a knife!"
Julia Child: "The only time to be too busy to cook is when you're dead."
Anthony Bourdain: "Your body is not a temple, it's an amusement park. Enjoy the ride!"
Ina Garten: "I have a simple philosophy: Fill what’s empty. Empty what’s full. And scratch where it itches."
Rachel Ray: "A good recipe is like a good friend; it’s got your back, and it’ll make you feel better after a hard day."
Nigella Lawson: "I’ve always believed that if you’ve got a good recipe, there’s no need to complicate things."
Jamie Oliver: "The secret to good cooking is to have good ingredients, a good recipe, and a sense of humor."
Rachael Ray: "When you start the day with a hearty breakfast, you’re more likely to have a good day ahead. Unless it’s a really bad breakfast."
Wolfgang Puck: "The only time to eat diet food is while you’re waiting for the steak to cook."
Paula Deen: "You can’t beat bacon – it’s a flavor booster for almost everything!"
Alton Brown: "The only time I’ve ever burned a pot roast was when I was making a sandwich with it. Never cook with a hangover."
Martha Stewart: "Cooking is like love. It should be entered into with abandon or not at all."
Bobby Flay: "The best thing about cooking is that it’s all about experimenting. You don’t have to be perfect, just keep trying new things!"
Emeril Lagasse: "Bam! Food should be fun. That’s why I say, let’s kick it up a notch!"
